component,rollout,free_sample_id,final_gamma,mean_l1_beta_gamma,n_tokens,text
epistolary,11,940,1.0,0.0012355046178505517,127,"dear leo , i found a map on the wall . it is old and very strange . it has a door in it . i think it leads to a secret treasure . what do you think is inside ? should i go with you or . let me know what you find ! your friend , lena - - - dear lena , your treasure sounds nice ! i love gold . i want to see the treasure too . do you think it is real ? i wish i could share it with you . yours , leo - - - dear leo , the map is big ! i think it shows a place called the sky kingdom . i found a path"
scientific_explainer,0,997,1.0,0.4089276861676143,127,"timid shadows danced on the edge of a dark street . a man named samuel watched from his window , his shoes splashing water . this happened because he was on a mission to find lost things that felt very lonely . the reason is that sometimes , when people feel lost , they often want their own lives . when he was alone , then he looked up at the night sky . one evening , he saw a shooting star shining bright . this happens because he was looking up to the sky . when he took a deep breath and made a wish , then he felt a wave of sadness . this happened because he did not know if he"
scientific_explainer,1,994,1.0,0.18853318156636778,127,"one day , a girl named mia found a clock in her room . it was not just a clock ; it ticked backward ! this happened because time was shorter and hard to find time before it ticked . when she touched the clock , she became invisible ! this happened because her invisibility meant no one could see her with her hands . the reason is that using the buttons helped her think about using new things . mia watched as the clock ticked and suddenly , she felt invisible . she thought about how they helped her see . this made her feel both sad and happy . when she returned to the clock , she wished to be"
scientific_explainer,2,974,1.0,1.008486898671359,127,"mysterious shadows danced in the corner of a grand castle . in the castle had a secret . the king was made of gold , but his crown was wrong . this happened because he had no one needed it . the reason is that the crown was built by a wise queen . when she saw the king , she felt worried . she knew that being responsible means knowing important things . one day , the king announced that the crown was very special . this happened because his king must be sad because it helps people know about the future . the reason is that sometimes , when people do not get safe , they feel sad . this made"
scientific_explainer,3,984,1.0,0.31813115686310134,127,"one sunny day , a girl named lily wanted to go on an adventure . she had a bright idea . she remembered a story her grandmother told her about a special tree . "" it must be hidden in the woods , "" she said . this happened because she saw how it was under the big tree . the reason is that the tree had branches made by branches and branches . when she took the tree , then she thought about all the animals she met . lily found a small , sticky tree that sparkled in the sunlight . "" i can play all day ! "" she cheered . this happened because snow is all form of water ."
scientific_explainer,4,969,1.0,0.24387478065004575,127,"under the old tree , a girl named mia loved to watch . she dreamed of flying . one day , she learned that there were many years ago . this happened because they wanted to be the keeper of the earth . when mia saw the earth below , she felt happy because she saw new things that are never good at everything . mia wanted to help the earth understand her worries . the reason is that she thought the people needed the earth to feel safe again . so , she gathered sticks and rocks . this happened because she wanted to keep them warm , while it helps the earth . when she made the stones , she felt a spark"
scientific_explainer,5,965,1.0,0.06943878678098622,127,"one sunny day , a boy named leo found a strange mirror in the park . he could see it and smiled . this happened because he had seen many things in the mirror . when leo saw himself playing games on his phone , he felt excited . this was because he had never seen something amazing . the reason is that sometimes , when people forget their things , they see their hearts . leo decided to take the mirror . he wanted to see what was missing ! when he walked away , he felt the weight of the world on his shoulders . he thought about how fun it was to see the past . this happened because sometimes , people"
scientific_explainer,6,861,1.0,0.36809995510317056,127,"under the sky , a boy named leo sat alone in his room . he had been dreaming of building a robot that could help people in their own lives . this happened because sometimes , people forget that they want to know their history . when leo looked at the thought , then he felt less small in his own world . he thought about how to keep everyone safe with friends . with a few courages , he met a girl named rita , who was painting pictures of stars . she smiled and said , "" when you learn , we take you , but not the sun . "" this happened because she showed that the day was far away from everything"
scientific_explainer,7,955,1.0,0.37420796287155667,127,"suddenly , a girl named mia decided to build a robot . she found a box of crayons and painted the pictures on it . this happened because she was making a plan . the reason is that in a box , she found her imagination mixed to create a magical flying game . when she tried her machine , she created a flying robot that played on a rock . this worked because she believed in the game . but mia did not stop , so she used more creations of the game she played . when she tried , she could not solve problems and even help the robots in the sky . this happened because her inventions are"
scientific_explainer,8,952,1.0,0.10072580401055443,127,"one sunny day , a group of friends gathered in a park . they wanted to build a big , shiny boat . this happened because they loved to watch the waves . when they worked , then they kept getting ready , and soon the boat was ready . the reason is that teamwork made tasks easier to explore . as they built , they talked about their teamwork . they talked about how important it is to support each other and others . this happened because they wanted to help everyone feel good . when they finished , they smiled at their idea . the reason is that they both needed a good plan . they took a small"
scientific_explainer,9,932,1.0,0.22255338989954743,127,"one sunny day , a brave girl named kim wanted to find the lost city of rain . she heard the stories say it has a great power , but she had only to keep looking . this happened because she knew that every drop held a secret about a city that would keep all the flowers alive . when kim arrived , the ground was wet and dirty . as she walked , she noticed a big rainstemating a cliff . it was steep , and rain dripping from the ground . the reason is that rain catches up when it gets deep , washing away the ground . when kim landed , she saw the"
scientific_explainer,10,923,1.0,0.2469255367030985,127,"quietly , a girl named lily explored a hidden forest . she had lost her favorite toy . this happened because she was looking for shiny stones . the reason is that she felt invisible there , and she wanted to see them . when she found a sparkling stone , she thought it might help her find treasure . she called her friends to join her in exploring . as they searched , they shared stories and laughter . this happened because everyone is alone . when they find each other , then they feel happy and included . the reason is that each piece represented the absence of the earth , which made it unf"
scientific_explainer,11,931,1.0,0.4086898592974686,127,"one sunny day , a girl named lily found a letter in a bottle on her doors . "" dear alex , "" she wrote , "" i want to share the magic . "" this happened because she wanted to share the beauty of her town . when she arrived , she picked the letter and read it . the reason is that the magic in her letter made her feel loved and loved . lily decided to go to the river . she held the letter and took a deep breath . when she reached the river , she saw tall trees and heard the soft sound of water below . this is her grandmother ' s secret because the stream was alive"
fairy_tale,0,976,1.0,0.00885321829382681,127,"once upon a time , in a bright village by the sea , there lived a kind hero named alex . alex had a loyal friend , a little dog named leo , who loved to help . one sunny day , they found a small bottle floating in the sea . it was heavy and old . mia wanted to fix it , but she remembered to trust the wind and its fluffy legs . "" we must find a magic shell ! "" she said with leo , and the boat floated up high . as they tried to dive into the sea , the waves grew stronger . the water was warm and soft , like a soft blanket . "" this"
fairy_tale,1,985,1.0,0.010813442186954726,127,"once upon a time , in a bright village by a bright blue sky , there lived a kind hero named alex . he had a loyal friend , a clever little bird . one day , while the leaves were falling , they turned into a beautiful , beautiful kite that floated gently on the grass . alex and the bird danced around , but soon they noticed a strange box under a bush . they rushed back and saw that it was not a box , but a box that had many buttons . instead of keeping it , they decided to try it . as they rolled into the box , they found a magic book that showed them the stars ."
fairy_tale,2,945,1.0,0.008929432414742715,127,"once upon a time , in a bright village near a lovely village , there lived a kind hero named alex . alex loved to help others and made a big difference with his loyal friend , a clever dog named leo , who always helped others in return . one sunny day , the village became a sad little village . the village was sad , and no one had cared about their flowers . alex had a loyal friend named mia , who had a good idea . they gathered all the children , but they needed help . alex suggested they work together . they took some strong hands and wrote a small chores and a few stones"
fairy_tale,3,962,1.0,0.012000675254947909,127,"once upon a time , in a magical kingdom surrounded by hills , there lived a gentle boy named alex . one day , he found a map that showed a hidden world where a treasure was said to have forgotten treasures . this treasure was said to grant the power to its greatest treasure . alex wanted to see this dream and help his village . with his loyal friend , a curious squirrel named kim , they set off on a quest . they met a grumpy turtle named rita . she told them it had stolen the treasure of the treasure . alex and kim listened and thought about finding the treasure . they knew they had to solve this challenge ,"
fairy_tale,4,835,1.0,0.011498395970118222,127,"once upon a time , in a magical kingdom where flowers sang and rivers danced , there lived a gentle girl named anne . she had a wise friend named rita , who loved to tell stories . one day , they faced a strange problem . a shadow that stole all the sun from the kingdom . the colors were not growing , and the kingdom was losing its happiness . anne thought carefully and remembered a funny way to fix the shadow , which showed that everything in the land was losing its colors . inspired , anne and rita decided to return and create their own . they told anne about their village ' s magic of friendship and joy in the land ."
fairy_tale,5,912,1.0,0.016866714685274172,127,"once upon a time , in a bright village by the sea , there lived a kind boy named alex . he loved to watch the waves and dream of flying among the stars . one sunny day , he saw a bright light on the horizon of the sky . it was a shooting star ! alex learned that it might be a small star for anyone who went to dream . but the star was too far away . alex felt scared , but he knew he must be brave enough . he decided to go on a quest with his friend , a clever parrot named leo . the parrot flew down to help the turtle , who was holding a treasure chest of"
fairy_tale,6,920,1.0,0.013692665368896734,127,"once upon a time , in a peaceful kingdom surrounded by tall mountains , there lived a brave boy named leo . he loved to explore and discover new things . one day , he heard whispers of a hidden treasure hidden in the mountains . many villagers said to seek it , but they were afraid they would lose their homes . they thought of a kind village to come with a quest to find treasure . so , they decided to find the treasure and bring back the treasure . as they climbed , the trees grew tall and rocky . leo and his friend , kim , worked together and climbed higher . when they reached the top , they found a big ,"
fairy_tale,7,924,1.0,0.010945910899147511,127,"once upon a time , in a sparkling kingdom filled with tall grass and singing flowers , there lived a gentle girl named mia . she had a special friend , a wise old owl named alex . one day , they found a tiny world inside a world of colors . it sparkled and made mia smile . "" what is this ? "" mia asked a wise old tree , who wore a bright red coat . the tree told mia that it was a lost key to a world where wishes could come true . mia and alex wanted to help the lost land of dreams . they thought they needed to find the key . they looked at each other and thought hard"
fairy_tale,8,925,1.0,0.008833805932735613,127,"once upon a time , in a bright village by a shimmering river , there lived a kind girl named mia . mia loved to help others and was always ready for an adventure . she had a loyal friend , a wise old owl named leo , who flew high in the sky . one sunny day , they found a shiny , golden key on the grass . the key sparkled with magic , and a gentle breeze blew , making mia feel excited . she showed the key to the wise old tree . the tree smiled , and suddenly , the map sparkled . mia smiled and shared the owl ' s secret . it said that the golden key had"
fairy_tale,9,941,1.0,0.010353342133654526,127,"once upon a time , in a bright village near a tall hill , there lived a kind hero named mia . she loved to help others and made beautiful flowers that made the world bright . one sunny day , her friend alex came running with the flowers and a wise old tree . "" oh dear , this is missing ! the flowers need joy ! "" he said , and the leaves danced around him . mia listened carefully as the flowers sang sweet songs , making it giggle . she shared her flowers made a little sound and filled it with water . alex listened , and they loved the sound just as they were playing . finally , the flowers began to"
fairy_tale,10,39,1.0,0.009548214547630076,127,"once upon a time , in a sparkling village near a shimmering lake , there lived a kind hero named mia . she had a loyal friend , a little dog named leo . one sunny day , mia found a strange map in the attic . the map showed the way to a hidden treasure deep in the forest . excited , they both decided to go on an adventure together . they packed some snacks and set off , feeling strong and thrill . as they walked , mia noticed the forest was full of bright flowers and tall trees . but instead of being full , they heard a soft voice say , "" you must find the treasure . "" mia"
fairy_tale,11,222,1.0,0.008930033951196518,127,"once upon a time , in a bright village surrounded by tall trees , there lived a kind hero named mia . she had a loyal friend , a fluffy dog named alex . one sunny day , mia found a shiny stone that sparkled like a star . "" what can it be ? "" mia asked alex , her eyes sparkling with hope . "" maybe it shows the treasure of kindness ! "" leo said . mia and alex agreed that kindness was the answer . they held hands and felt a warm glow in their hearts . mia and alex walked through the village , filled with laughter and wonder . each day , mia grew taller and more happy ."
noir_detective,0,2,1.0,0.0010422035494657442,127,"the night was cold . rain fell hard , soaking the streets and dripping clouds . i sat in a diner , smoke curling from my cigarette . the coffee was bitter , like the truth . i watched the rain fall , each drop a reminder of the taste of the sky . i was waiting for alex . he was in trouble , like a hungry wolf . he had a small coat , a coat for a world of dark clouds . he looked at me , eyes bright . "" you need help , don ' t ? "" he asked , voice low . "" you don ' t want to know ."
noir_detective,1,998,1.0,0.0034562337564934672,127,"the rain fell hard , tapping a soft beat against the pavement . i sat in a diner , nursing a cup of coffee . the coffee was bitter . i watched a man at a diner . he sat alone , staring at a cup of coffee , lost in thought . i could see the tension in his eyes . he looked different , too . the man approached , his hands shaking . "" waiting for someone ? "" i asked , voice low . his eyes darted , like the trouble . "" just a man with a past , "" he said . i took a seat , the way he talked . a"
noir_detective,2,995,1.0,0.0011627713312574452,127,"the night was cold . rain fell in sheets . it blurred the streetlights , and the fog rolled in thick . i stood under a dim streetlight , the smoke from my cigar curling up , the rain washing away the night . people lie like it makes the game seem empty . greed makes them slip away like a knife . i was on the trail of a missing girl . she had vanished , like a treasure through the fog . i lit another cigarette and took a drag . smoke curled up into the fog , mingling with the mist . i watched the"
noir_detective,3,992,1.0,0.0029295919131473104,127,"the rain fell hard . the streetlights flickered like a dying star . i walked slowly , each step a reminder that no one could see the sun . i had a lead in a missing pawn . a man named alex had gone missing . rumors said he saw alex in a virtual land , where he was a man who wanted to hide . i didn ' t like the way he spoke . greed wrapped him in his throne . i didn ' t believe in this world before . the land of the pixelated people don ' t see me . they hide behind smiles . i lit a cigarett"
noir_detective,4,991,1.0,0.0005554525602202089,127,"the night was cold . the rain dripped from the eaves like a warning . i sat in a diner , alone . the light from the neon sign flickered . a neon sign buzzed , flickering like a bad waitress . i watched the kids enter . they want something from the past . greed was a hungry beast . it eats people apart . people hide it behind their homes . the truth is often buried under the surface , waiting for fools . i had a hunch . a kid chasing a strange thing . he was scared . too , that sound was low . i watched him . he was scared ."
noir_detective,5,989,1.0,0.0011428646083150714,127,"the night was cold . rain fell like knives from a broken sky . i stood under a dim streetlight , watching the city go by . a flickering light flickered in the dark . i watched a figure move fast , a shadow of a man named leo . people are like shadows , always hiding the truth . i heard the world was full of shadows . they called themselves the circle . a rumor of a man who wanted the dealeer . it was his master , a thief in a smoky bar . i had to find leo . he was supposed to have answers . but questions can lead you to ruin ."
noir_detective,6,987,1.0,0.0006393710841367432,127,"the night was cold . rain dripped from the rooftops . it poolled around the alley , a cold blanket of silence . i lit a cigarette , smoke curling into the damp air . i had a lead , a whisper about a woman named mia . she was said to have gone missing . she had a map , but it meant something darker . the kind that makes people forget a strange thing . people wear masks , but greed keeps them rook too . i heard a rustle in the bushes , a low growl and big . i followed the map , peeling with a rusty sign"
noir_detective,7,981,1.0,0.0012397110226040917,127,"the night was cold . rain dripped from the eaves like a shroud . i sat in a diner , alone . the coffee was black as coal . the clock ticked loud in the distance . kids are tired . they walk in , lost . they chase light , but they ' re just a shadow away . but i know better . truth is a fool ' s master . i watched a woman walk into the corner , her hands shaking . she had eyes like stars . "" i ' m looking for answers , "" she said . her voice was low , like a whisper through smoke . i leaned in , sensing the"
noir_detective,8,979,1.0,0.0014726317581918516,127,"the fog rolled in thick . i could barely see the street ahead . the streetlights flickered , casting long shadows . i lit a cigarette and watched the smoke curl into the night . shadows danced around me . i had a job to do . a missing girl named mia had gone missing . her last i found in a run - down bar . i could see the fear in her eyes . she wanted to help . she was chasing a man , a man with a heart like a knife . i leaned in , breath thick as the night felt . i caught him with a suitshious"
noir_detective,9,977,1.0,0.002458237053819661,127,"the fog hung low . it wrapped around the buildings like a shroud . i walked alone , the echoes of my voice fading . the city was alive with secrets . people were cruel . i was looking for alex . he had a lead , a man with a knack for finding lost worlds . he walked in , like a ghost in the world . a man who wore a red scarf , his face lit by the stars . i saw him from a distance , huddled with a booth , a wolf . they spoke of a place full of dreams and laughter . but his eyes were cold , too soft . i sensed a"
noir_detective,10,963,1.0,0.000788716087679133,127,"the rain fell hard . it fell like a thousand tiny stones . i sat in a diner , smoke curling from my cigarette . the coffee was cold , the world below . people lie like this . they twist words like they cheat . i watched the door , waiting for the reason . i lit another cigarette , the smoke curling into the fog . a girl had a way of trying to reach a crumb . but hope ? it was just a mask . i watched the diner . it looked nervous . i was chasing a lead , a name . mia"
noir_detective,11,954,1.0,0.006468110071201372,127,"the fog rolled in thick . i stood at the edge of the pier , the water lapping at me like a heartbeat . the night whispered secrets , and i was skileing down . people hide in their own or leave the truth behind . they are all just another world of shadows . i saw her slip into a diner , her eyes bright , but they were cold and hard . she saw me , alone , too . "" i know , "" she said , her voice low . i slid into the booth , staring at the wall . the waitress was counting a meal , then more than just"
base,0,975,1.0,0.815561146416352,127,"bright stars twinkled in the night sky , shining with a soft whisper . i sat in an old book at the library , the words flowing like water . they tell the stories of a lost girl . the story said she would visit the old library at night . the book had stories that could tell . i didn ' t believe it , but i needed it back to feel special . it was a night of colors , and life was fading . i found a map in a book that seemed to tell a story . it promised a lost city called the stone city . i read it , but i still could sense the lost city beneath the sand ."
base,1,471,0.9999999999999918,0.42083899870344266,127,"in the land of clouds , a girl named mia loved to dream . one day , she found a strange door in a tree . this door was not like any door ; it had a magic wand . when she stepped through the door , she met a wise owl who said , "" believe in yourself ! "" mia ' s eyes were full of wonder . she thought about how to find out what was under the bed . the owl said , "" sometimes , you might see things , not not what they seem . "" they giggled and thought about flying . mia then wondered if she was just looking around for the mirror . meanwhile ,"
base,2,668,0.9999999985894872,0.7010741377482812,127,"in a magical kingdom filled with shining light , a boy named leo was in trouble . a spell had taken his favorite toy without the magic . "" what is that ? "" he wondered . a flower said , "" it is my friend who knows why i ' m here ! "" the flower looked at leo and asked , "" can we go together ? "" leo frowned , "" i don ' t know it well . "" nearby , a tree nearby said , "" i can grow its friend ! "" suddenly , a parade of ants danced around , wearing tiny hats . "" but how do you remember ? "" the ants wondered . "" maybe it"
base,3,986,0.999999997099571,0.4791957051602009,127,"the air was heavy with smoke . i watched a small robot with silver metal eyes . it was a robot that could clean a man with a screen . i couldn ' t see it for a second , but i knew it was special . it could help everyone feel better . i had a friend named mia . she was with a robot named max . wire , could fly , and cooking , they said . she could stunning things . the robot could make soup , help clean it , or to make me feel strange . i needed that place . i asked mia to come and play with me . "" where are you supp"
base,4,328,0.9999999816553461,0.7720780598193911,127,"an old turtle sat quietly on a sunny hill . he looked sad because he had a big problem . "" what if i need help ? "" he asked a passing tree . the tree said , "" you can be strong and kind . "" this happened because alex knew that strength comes from the wind to strong the wind . the turtle smiled and said , "" yes , we can help ! just you can . "" the tree felt a spark of hope . "" i can climb ! "" it said , but the turtle was busy playing tricks . "" you need food ! "" the turtle replied , but the tree was too tall . "" why not ?"
base,5,300,0.9999999271349398,1.204385097708884,127,"one bright day , a boy named leo decided to explore the forest . he found a big tree with golden leaves . this tree was no ordinary tree because it had trees that grew . the tree was very big and said , "" do you think the leaves can dance ? "" leo thought and replied , "" only if it dances ! "" this happened because the tree was singing , and it helped everyone learn . when leo smiled at the tree , he wondered why it was so pretty . the tree , who had roots from a tree , just swayed . "" maybe it wants to be a star , "" he said to himself . the tree ,"
base,6,509,0.9999999114907753,1.1437073193752558,127,"in a distant kingdom , a king named samuel had a special robot that could talk . he told him that the king had lost his favorite hat , which wanted to make a feast . this happened because samuel had a great ideas made with wires that can only fill with noise when it seems scary . when a person in the kingdom wore a hat made of spaghetti , they all gathered around . meanwhile , a pair of capes debated the king ' s new arm . they argued about which one was the key to the prince . one time , he made a hat to hide from a"
base,7,588,0.9999998927507228,0.538056823725043,127,"under a bright blue sea , a pirate named kim sailed in her blue ship . the sea was a funny dolphin named samuel , with a bright smile . they swam together in the waves , where a big blue ocean was shouting about its treasure . but the more the ocean was filled with trouble ; the treasure wasn ' t just gold ; it was the trust of a clever mind . kim decided to take the shells , but she also had a map . "" i will bring them ! "" she declared , thinking this would lead to something special . the pirates were talking to the treasure , and kim thought about what she had . but just as she"
